CXOC J100109.8+021727    32 150.29122  2.291028 0.23  3.59E-04 5.10E-05  4.83E-15 6.87E-16   7.03 164.97   58.5  10.1 162.06  2.82E-04 4.18E-05  1.54E-15 2.28E-16   6.75 162.44   45.8   8.6 160.11  5.93E-05 2.89E-05  1.56E-15 7.58E-16   2.06 170.06   11.2   6.2 166.15  -0.67  -0.89  -0.44 
CXOC J100111.0+021633    33 150.29604  2.276037 0.15  4.48E-04 5.30E-05  6.04E-15 7.15E-16   8.45 161.69   27.2   6.7  46.6   3.19E-04 4.36E-05  1.74E-15 2.38E-16   7.31 159.32   18.8   5.8  46.56  1.25E-04 3.04E-05  3.28E-15 7.97E-16   4.12 166.45    8.3   4.4  46.63  -0.46  -0.64  -0.25 
CXOC J100112.3+021656    34 150.30155  2.282217 0.13  5.70E-04 6.33E-05  7.68E-15 8.53E-16   9.   169.1    98.7  12.7 162.74  4.18E-04 5.05E-05  2.28E-15 2.75E-16   8.29 166.16   75.   10.7 160.71  1.55E-04 3.99E-05  4.07E-15 1.05E-15   3.88 175.08   27.2   8.1 167.07  -0.46  -0.62  -0.29 
CXOC J100046.7+020404    35 150.19469  2.067936 0.12  1.98E-03 1.01E-04  2.67E-14 1.36E-15  19.63 195.12  459.3  24.5 195.27  1.54E-03 8.69E-05  8.41E-15 4.74E-16  17.74 191.25  358.1  21.3 192.3   4.27E-04 5.20E-05  1.12E-14 1.37E-15   8.18 203.07  102.3  13.2 201.67  -0.55  -0.62  -0.48 
CXOC J100038.0+020822    36 150.15832  2.139531 0.22  1.04E-03 8.20E-05  1.40E-14 1.10E-15  12.73 168.29  215.4  17.5 183.84  7.34E-04 6.59E-05  4.00E-15 3.59E-16  11.14 165.26  144.1  14.1 181.53  3.08E-04 5.02E-05  8.08E-15 1.32E-15   6.12 174.47   72.8  11.3 189.38  -0.4   -0.51  -0.28 
CXOC J100109.1+020754    37 150.28792  2.13191  0.11  9.27E-04 6.93E-05  1.25E-14 9.33E-16  13.4  232.53  237.9  19.  234.83  6.89E-04 5.55E-05  3.76E-15 3.02E-16  12.45 227.88  182.4  15.9 230.93  2.40E-04 4.28E-05  6.31E-15 1.12E-15   5.63 242.08   58.8  11.7 243.18  -0.48  -0.58  -0.37 
CXOC J100102.8+020317    38 150.26166  2.054727 0.12  7.65E-04 6.81E-05  1.03E-14 9.17E-16  11.23 192.03  180.   16.4 197.31  4.27E-04 4.84E-05  2.33E-15 2.64E-16   8.83 188.67   95.3  11.9 194.53  3.45E-04 4.88E-05  9.06E-15 1.28E-15   7.08 198.88   81.3  12.  203.29  -0.12  -0.24   0.03 
CXOC J100104.2+020320    39 150.26751  2.055629 0.14  8.08E-04 7.05E-05  1.09E-14 9.50E-16  11.47 196.1   199.6  17.4 195.73  5.33E-04 5.36E-05  2.91E-15 2.92E-16   9.97 192.7   124.3  13.3 193.    2.86E-04 4.71E-05  7.51E-15 1.24E-15   6.06 203.01   76.6  12.  201.56  -0.3   -0.42  -0.17 
CXOC J100047.9+021127    40 150.19974  2.190907 0.1   1.21E-03 8.01E-05  1.63E-14 1.08E-15  15.09 205.81  256.6  19.2 194.27  8.60E-04 6.46E-05  4.69E-15 3.52E-16  13.32 201.44  180.8  15.6 191.45  3.69E-04 4.94E-05  9.69E-15 1.30E-15   7.45 214.84   81.   12.3 200.42  -0.38  -0.48  -0.28 
CXOC J100040.9+020717    41 150.1704   2.121475 0.24  3.57E-04 5.08E-05  4.81E-15 6.84E-16   7.03 163.95   71.4  10.8 164.02  2.41E-04 3.90E-05  1.31E-15 2.13E-16   6.15 161.72   45.8   8.5 162.53  1.61E-04 3.69E-05  4.22E-15 9.70E-16   4.35 168.4    24.    7.5 167.28  -0.24  -0.44  -0.02 
CXOC J100043.1+020637    42 150.1798   2.11034  0.1   4.80E-03 1.63E-04  6.47E-14 2.20E-15  29.41 166.04  864.8  32.4 167.25  3.35E-03 1.36E-04  1.83E-14 7.43E-16  24.63 163.92  597.5  27.  165.83  1.38E-03 8.82E-05  3.62E-14 2.32E-15  15.6  170.24  271.6  18.9 170.24  -0.4   -0.46  -0.35 
CXOC J100045.5+020935    44 150.18966  2.159718 0.31  3.88E-04 5.07E-05  5.23E-15 6.83E-16   7.66 162.43   72.6  10.6 164.2   2.26E-04 3.72E-05  1.23E-15 2.03E-16   6.06 160.27   43.3   8.3 162.65  1.35E-04 3.29E-05  3.56E-15 8.64E-16   4.12 166.72   31.5   7.7 167.27  -0.29  -0.5   -0.06 
CXOC J100046.6+020624    45 150.19426  2.106866 0.43  3.94E-04 5.24E-05  5.32E-15 7.06E-16   7.54 166.03   63.1  10.4 163.86  1.18E-04 2.89E-05  6.44E-16 1.57E-16   4.1  163.97   23.2   6.6 162.53  2.24E-04 4.13E-05  5.88E-15 1.08E-15   5.44 170.09   40.6   8.8 166.68   0.22   0.01   0.42 
CXOC J100046.9+020709    46 150.19581  2.119341 0.41  5.29E-04 5.82E-05  7.13E-15 7.84E-16   9.09 162.7   100.1  12.1 160.32  2.54E-04 3.95E-05  1.38E-15 2.15E-16   6.42 160.76   52.8   9.  159.23  2.66E-04 4.28E-05  6.99E-15 1.12E-15   6.24 166.49   48.6   9.  162.59  -0.01  -0.2    0.17 
